url,source_name,publication_date,rating,n_vereditos,chaves_canonicas,rotulos,misto,rotulo_consolidado,excluido_do_banco_de_estimulos,motivo_da_exclusao
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-enganoso-dizer-que-expor-a-populacao-ao-virus-e-melhor-para-acabar-com-pandemia-do-que-vacinacao/,COMPROVA,2020-10-28,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-usa-acao-coletiva-infundada-para-dizer-que-pandemia-e-crime-contra-a-humanidade/,COMPROVA,2020-10-27,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/graficos-usados-em-tuite-nao-comprovam-que-o-brasil-esta-proximo-de-alcancar-imunidade-de-rebanho/,COMPROVA,2020-10-26,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/post-forca-comparacao-entre-vacinas-em-teste-e-a-cloroquina-que-nao-tem-eficiencia-comprovada-contra-a-covid-19/,COMPROVA,2020-10-23,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/todas-as-vacinas-em-teste-no-brasil-passaram-por-fase-pre-clinica-ao-contrario-do-que-diz-medico/,COMPROVA,2020-10-21,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/tuite-engana-ao-sugerir-que-vacina-contra-a-covid-19-e-desnecessaria/,COMPROVA,2020-10-21,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/medico-tira-de-contexto-dados-de-estudo-para-sugerir-que-mascaras-sao-ineficientes/,COMPROVA,2020-10-19,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/frase-de-enviado-da-oms-e-retirada-de-contexto-para-sugerir-que-entidade-condena-lockdown/,COMPROVA,2020-10-16,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/deputado-usa-dados-imprecisos-para-colocar-em-duvida-a-eficiencia-de-medidas-de-distanciamento-social/,COMPROVA,2020-10-16,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/bolsonaro-nao-e-o-primeiro-presidente-a-visitar-a-ilha-de-marajo-com-primeira-dama-e-ministros/,COMPROVA,2020-10-15,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/tuite-engana-ao-questionar-compra-de-vacinas-pelo-governo-de-sp/,COMPROVA,2020-10-08,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/post-distorce-informacoes-para-insinuar-que-china-nao-usara-a-propria-vacina/,COMPROVA,2020-10-07,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/estudo-distorce-dados-para-dizer-que-paises-que-usaram-a-hidroxicloroquina-tiveram-75-menos-mortes-pela-covid-19/,COMPROVA,2020-10-01,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-de-homem-implorando-por-banho-de-mar-foi-gravado-um-dia-depois-do-anuncio-de-reabertura-da-orla/,COMPROVA,2020-09-28,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/texto-usa-erroneamente-dados-preliminares-para-ligar-queda-de-homicidios-a-aumento-de-armas-de-fogo/,COMPROVA,2020-09-28,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-deturpa-informacoes-sobre-a-atuacao-do-governo-na-preservacao-da-amazonia/,COMPROVA,2020-09-25,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/decisoes-do-stf-contra-bolsonaro-estao-dentro-das-atribuicoes-da-corte/,COMPROVA,2020-09-23,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/nao-ha-evidencias-que-liguem-morte-de-menina-alema-ao-uso-de-mascaras/,COMPROVA,2020-09-22,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/post-diz-que-governo-liberou-r-12-milhoes-para-tratamento-de-crianca-mas-omite-que-se-trata-de-ordem-judicial/,COMPROVA,2020-09-18,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-falso-que-irmaos-morreram-apos-se-vacinarem-contra-a-covid-19/,COMPROVA,2020-09-17,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/tuite-engana-ao-afirmar-que-sol-mata-o-coronavirus/,COMPROVA,2020-09-10,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/post-confunde-ao-comparar-letalidade-da-covid-19-com-outras-doencas/,COMPROVA,2020-09-08,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/projeto-de-lei-nao-preve-prisao-para-quem-se-recusar-a-tomar-vacina-contra-a-covid-19/,COMPROVA,2020-09-04,['Falso'],1,falso,falso,False,falso,False,
